ear,mar,pitch,yaw,vit_state,label
0.2862,0.0,0.81,4.08,0,1
0.2839,0.0,1.04,3.75,0,1
0.2732,0.0,1.1,4.34,0,1
0.2834,0.0,1.05,3.49,0,1
0.2774,0.0,1.22,3.72,0,1
0.2815,0.0,0.84,3.91,0,1
0.2928,0.0,0.96,3.77,0,1
0.274,0.0,0.66,3.75,0,1
0.2628,0.0,0.4,3.74,0,1
0.283,0.0,1.0,3.85,0,1
0.2586,0.0,0.87,3.25,0,1
0.2667,0.0,0.69,3.63,0,1
0.2716,0.0,1.71,3.72,0,1
0.2637,0.0,0.85,3.85,0,1
0.2726,0.0,0.88,3.9,0,1
0.2601,0.0192,0.79,3.82,0,1
0.2676,0.0,0.49,3.92,0,1
0.2723,0.0,1.06,3.91,0,1
0.2818,0.0,0.78,3.83,0,1
0.2846,0.0,0.9,3.91,0,1
0.2967,0.02,0.57,3.46,0,1
0.2623,0.0,0.42,3.75,0,1
0.2794,0.0188,0.61,3.61,0,1
0.275,0.0,0.61,3.74,0,1
0.2288,0.0,0.61,3.66,0,1
0.1697,0.0,1.11,3.78,0,1
0.2138,0.0,0.77,4.11,0,1
0.2675,0.0196,0.88,4.3,0,1
0.2831,0.0,1.47,3.9,0,1
0.262,0.0,0.86,3.93,0,1
0.2741,0.0,1.11,4.03,0,1
0.2788,0.0,1.15,3.86,0,1
0.2801,0.0,0.8,4.33,0,1
0.2755,0.0,0.71,4.24,0,1
0.2705,0.02,0.63,4.16,0,1
0.2634,0.0,0.59,4.05,0,1
0.2842,0.0,0.73,4.02,0,1
0.2799,0.0,0.48,3.99,0,1
0.2904,0.0,0.48,3.92,0,1
0.274,0.0,0.5,3.59,0,1
0.2789,0.0,0.09,3.91,0,1
0.2776,0.0,0.38,3.87,0,1
0.2817,0.0,0.64,4.31,0,1
0.2711,0.0,0.5,3.7,0,1
0.2799,0.0,0.37,3.51,0,1
0.267,0.0,0.64,3.89,0,1
0.2803,0.0,0.34,3.72,0,1
0.2712,0.0,0.96,3.86,0,1
0.2759,0.0,0.56,3.31,0,1
0.2847,0.0,0.47,3.6,0,1
0.288,0.0,1.06,3.9,0,1
0.259,0.0,1.12,3.83,0,1
0.2597,0.0,0.89,3.8,0,1
0.274,0.0,0.91,3.93,0,1
0.2649,0.0,0.97,4.0,0,1
0.279,0.0,0.92,3.92,0,1
0.2625,0.0196,0.64,3.88,0,1
0.3029,0.0,0.8,3.73,0,1
0.2716,0.0,1.01,3.85,0,1
0.2932,0.0,1.04,3.94,0,1
0.2742,0.0,0.8,3.72,0,1
0.2772,0.0,1.02,3.87,0,1
0.2574,0.0,1.16,3.56,0,1
0.2775,0.0,1.0,3.84,0,1
0.2685,0.0,1.22,3.69,0,1
0.2833,0.02,1.09,3.78,0,1
0.2653,0.0,0.49,3.54,0,1
0.2715,0.0,0.75,3.92,0,1
0.277,0.0,0.72,3.98,0,1
0.2589,0.0,1.17,3.58,0,1
0.2769,0.0,0.93,3.86,0,1
0.2662,0.0,0.51,3.66,0,1
0.2944,0.0,0.72,3.79,0,1
0.2808,0.0,1.36,3.37,0,1
0.2924,0.0196,0.69,3.69,0,1
0.2963,0.0,0.65,3.68,0,1
0.2675,0.0,1.37,4.11,0,1
0.272,0.0,0.72,3.88,0,1
0.2872,0.0,0.39,3.82,0,1
